"cons","edo","NOM_ENT","mun","NOM_MUN","grupo","NOMBRE_GRUPO","monto_venta","animales_venta"
"0079","15","México","067","Otzolotepec","5","cyb",0,0
"0080","15","México","067","Otzolotepec","1","reses",0,0
"0080","15","México","067","Otzolotepec","2","equinos",0,0
"0080","15","México","067","Otzolotepec","3","cerdos",0,0
"0080","15","México","067","Otzolotepec","4","aves",0,0
"0080","15","México","067","Otzolotepec","5","cyb",0,0
"0081","15","México","124","San José del Rincón","1","reses",0,0
"0081","15","México","124","San José del Rincón","2","equinos",0,0
"0081","15","México","124","San José del Rincón","3","cerdos",0,0
"0081","15","México","124","San José del Rincón","4","aves",0,0
"0081","15","México","124","San José del Rincón","5","cyb",0,0
"0082","15","México","124","San José del Rincón","1","reses",0,0
"0082","15","México","124","San José del Rincón","2","equinos",0,0
"0082","15","México","124","San José del Rincón","3","cerdos",0,0
"0082","15","México","124","San José del Rincón","4","aves",0,0
"0082","15","México","124","San José del Rincón","5","cyb",0,0
"0083","15","México","124","San José del Rincón","1","reses",0,0
"0083","15","México","124","San José del Rincón","2","equinos",0,0
"0083","15","México","124","San José del Rincón","3","cerdos",0,0
"0083","15","México","124","San José del Rincón","4","aves",0,0
"0083","15","México","124","San José del Rincón","5","cyb",2000,2
"0084","15","México","124","San José del Rincón","1","reses",0,0
"0084","15","México","124","San José del Rincón","2","equinos",0,0
"0084","15","México","124","San José del Rincón","3","cerdos",0,0
"0084","15","México","124","San José del Rincón","4","aves",0,0
"0084","15","México","124","San José del Rincón","5","cyb",0,0
"0085","15","México","124","San José del Rincón","1","reses",0,0
"0085","15","México","124","San José del Rincón","2","equinos",0,0
"0085","15","México","124","San José del Rincón","3","cerdos",0,0
"0085","15","México","124","San José del Rincón","4","aves",0,0
"0085","15","México","124","San José del Rincón","5","cyb",0,0
"0086","15","México","124","San José del Rincón","1","reses",0,0
"0086","15","México","124","San José del Rincón","2","equinos",0,0
"0086","15","México","124","San José del Rincón","3","cerdos",0,0
"0086","15","México","124","San José del Rincón","4","aves",0,0
"0086","15","México","124","San José del Rincón","5","cyb",0,0
"0087","15","México","124","San José del Rincón","1","reses",0,0
"0087","15","México","124","San José del Rincón","2","equinos",0,0
"0087","15","México","124","San José del Rincón","3","cerdos",0,0
"0087","15","México","124","San José del Rincón","4","aves",180,3
"0087","15","México","124","San José del Rincón","5","cyb",0,0
"0088","15","México","124","San José del Rincón","1","reses",0,0
"0088","15","México","124","San José del Rincón","2","equinos",0,0
"0088","15","México","124","San José del Rincón","3","cerdos",0,0
"0088","15","México","124","San José del Rincón","4","aves",0,0
"0088","15","México","124","San José del Rincón","5","cyb",3000,3
"0089","15","México","124","San José del Rincón","1","reses",0,0
"0089","15","México","124","San José del Rincón","2","equinos",0,0
"0089","15","México","124","San José del Rincón","3","cerdos",0,0
"0089","15","México","124","San José del Rincón","4","aves",400,2
"0089","15","México","124","San José del Rincón","5","cyb",0,0
"0090","15","México","124","San José del Rincón","1","reses",0,0
"0090","15","México","124","San José del Rincón","2","equinos",0,0
"0090","15","México","124","San José del Rincón","3","cerdos",0,0
"0090","15","México","124","San José del Rincón","4","aves",0,0
"0090","15","México","124","San José del Rincón","5","cyb",0,0
"0091","15","México","124","San José del Rincón","1","reses",0,0
"0091","15","México","124","San José del Rincón","2","equinos",0,0
"0091","15","México","124","San José del Rincón","3","cerdos",0,0
"0091","15","México","124","San José del Rincón","4","aves",0,0
"0091","15","México","124","San José del Rincón","5","cyb",0,0
"0092","15","México","124","San José del Rincón","1","reses",0,0
"0092","15","México","124","San José del Rincón","2","equinos",0,0
"0092","15","México","124","San José del Rincón","3","cerdos",0,0
"0092","15","México","124","San José del Rincón","4","aves",0,0
"0092","15","México","124","San José del Rincón","5","cyb",0,0
"0093","15","México","124","San José del Rincón","1","reses",0,0
"0093","15","México","124","San José del Rincón","2","equinos",0,0
"0093","15","México","124","San José del Rincón","3","cerdos",0,0
"0093","15","México","124","San José del Rincón","4","aves",0,0
"0093","15","México","124","San José del Rincón","5","cyb",0,0
"0094","15","México","124","San José del Rincón","1","reses",0,0
"0094","15","México","124","San José del Rincón","2","equinos",0,0
"0094","15","México","124","San José del Rincón","3","cerdos",0,0
"0094","15","México","124","San José del Rincón","4","aves",0,0
"0094","15","México","124","San José del Rincón","5","cyb",0,0
"0094","15","México","124","San José del Rincón","6","otro",0,0
"0095","15","México","124","San José del Rincón","1","reses",0,0
"0095","15","México","124","San José del Rincón","2","equinos",0,0
"0095","15","México","124","San José del Rincón","3","cerdos",0,0
"0095","15","México","124","San José del Rincón","4","aves",0,0
"0095","15","México","124","San José del Rincón","5","cyb",0,0
"0096","15","México","124","San José del Rincón","1","reses",0,0
"0096","15","México","124","San José del Rincón","2","equinos",0,0
"0096","15","México","124","San José del Rincón","3","cerdos",0,0
"0096","15","México","124","San José del Rincón","4","aves",0,0
"0096","15","México","124","San José del Rincón","5","cyb",0,0
"0097","15","México","124","San José del Rincón","1","reses",0,0
"0097","15","México","124","San José del Rincón","2","equinos",0,0
"0097","15","México","124","San José del Rincón","3","cerdos",0,0
"0097","15","México","124","San José del Rincón","4","aves",0,0
"0097","15","México","124","San José del Rincón","5","cyb",0,0
"0098","15","México","124","San José del Rincón","1","reses",0,0
"0098","15","México","124","San José del Rincón","2","equinos",0,0
"0098","15","México","124","San José del Rincón","3","cerdos",0,0
"0098","15","México","124","San José del Rincón","4","aves",0,0
"0098","15","México","124","San José del Rincón","5","cyb",0,0
"0099","15","México","124","San José del Rincón","1","reses",0,0
"0099","15","México","124","San José del Rincón","2","equinos",0,0
"0099","15","México","124","San José del Rincón","3","cerdos",0,0
"0099","15","México","124","San José del Rincón","4","aves",0,0
"0099","15","México","124","San José del Rincón","5","cyb",0,0
"0100","15","México","124","San José del Rincón","1","reses",0,0
"0100","15","México","124","San José del Rincón","2","equinos",0,0
"0100","15","México","124","San José del Rincón","3","cerdos",0,0
"0100","15","México","124","San José del Rincón","4","aves",0,0
"0100","15","México","124","San José del Rincón","5","cyb",0,0
"0101","15","México","124","San José del Rincón","1","reses",0,0
"0101","15","México","124","San José del Rincón","2","equinos",0,0
"0101","15","México","124","San José del Rincón","3","cerdos",0,0
"0101","15","México","124","San José del Rincón","4","aves",0,0
"0101","15","México","124","San José del Rincón","5","cyb",0,0
"0102","15","México","124","San José del Rincón","1","reses",0,0
"0102","15","México","124","San José del Rincón","2","equinos",0,0
"0102","15","México","124","San José del Rincón","3","cerdos",0,0
"0102","15","México","124","San José del Rincón","4","aves",0,0
"0102","15","México","124","San José del Rincón","5","cyb",0,0
"0103","15","México","124","San José del Rincón","1","reses",0,0
"0103","15","México","124","San José del Rincón","2","equinos",0,0
"0103","15","México","124","San José del Rincón","3","cerdos",0,0
"0103","15","México","124","San José del Rincón","4","aves",0,0
"0103","15","México","124","San José del Rincón","5","cyb",0,0
"0104","15","México","124","San José del Rincón","1","reses",0,0
"0104","15","México","124","San José del Rincón","2","equinos",0,0
"0104","15","México","124","San José del Rincón","3","cerdos",0,0
"0104","15","México","124","San José del Rincón","4","aves",0,0
"0104","15","México","124","San José del Rincón","5","cyb",0,0
"0105","15","México","124","San José del Rincón","1","reses",0,0
"0105","15","México","124","San José del Rincón","2","equinos",0,0
"0105","15","México","124","San José del Rincón","3","cerdos",0,0
"0105","15","México","124","San José del Rincón","4","aves",0,0
